DATE,FEDFUNDS,unrate,CORESTICKM159SFRBATL
2010-07-01,0.18,9.4,0.74959322
2010-08-01,0.19,9.5,0.69562861
2010-09-01,0.19,9.5,0.6676136
2010-10-01,0.19,9.4,0.67526624
2010-11-01,0.19,9.8,0.82600201
2010-12-01,0.18,9.3,0.83710132
2011-01-01,0.17,9.1,0.96003713
2011-02-01,0.16,9.0,1.1238816
2011-03-01,0.14,9.0,1.1861014
2011-04-01,0.1,9.1,1.21555
2011-05-01,0.09,9.0,1.2613949
2011-06-01,0.09,9.1,1.2990532
2011-07-01,0.07,9.0,1.4236275
2011-08-01,0.1,9.0,1.6569751
2011-09-01,0.08,9.0,1.7268145
2011-10-01,0.07,8.8,1.8413647
2011-11-01,0.08,8.6,1.8407168
2011-12-01,0.07,8.5,2.0478499
2012-01-01,0.08,8.3,2.1159285
2012-02-01,0.1,8.3,2.0181912
2012-03-01,0.13,8.2,2.1247577
2012-04-01,0.14,8.2,2.1937928
2012-05-01,0.16,8.2,2.1896843
2012-06-01,0.16,8.2,2.2407468
2012-07-01,0.16,8.2,2.2616531
2012-08-01,0.13,8.1,2.1718632
2012-09-01,0.14,7.8,2.2199385
2012-10-01,0.16,7.8,2.2070705
2012-11-01,0.16,7.7,2.1959869
2012-12-01,0.16,7.9,2.1097305
2013-01-01,0.14,8.0,2.0682971
2013-02-01,0.15,7.7,2.146017
2013-03-01,0.14,7.5,2.0999025
2013-04-01,0.15,7.6,1.9354319
2013-05-01,0.11,7.5,1.907797
2013-06-01,0.09,7.5,1.8766189
2013-07-01,0.09,7.3,1.867879
2013-08-01,0.08,7.2,1.9142202
2013-09-01,0.08,7.2,1.8904211
2013-10-01,0.09,7.2,1.8687356
2013-11-01,0.08,6.9,1.8930866
2013-12-01,0.09,6.7,1.8711904
2014-01-01,0.07,6.6,1.8218145
2014-02-01,0.07,6.7,1.7891863
2014-03-01,0.08,6.7,1.8208567
2014-04-01,0.09,6.2,2.0251612
2014-05-01,0.09,6.3,2.1282345
2014-06-01,0.1,6.1,2.1433409
2014-07-01,0.09,6.2,2.1008094
2014-08-01,0.09,6.1,1.9625042
2014-09-01,0.09,5.9,1.954047
2014-10-01,0.09,5.7,2.0060187
2014-11-01,0.09,5.8,2.0043657
2014-12-01,0.12,5.6,1.9711259
2015-01-01,0.11,5.7,1.985653
2015-02-01,0.11,5.5,1.9819969
2015-03-01,0.11,5.4,1.9991371
2015-04-01,0.12,5.4,2.0631236
2015-05-01,0.12,5.6,2.0668869
2015-06-01,0.13,5.3,2.1147326
2015-07-01,0.13,5.2,2.1414477
2015-08-01,0.14,5.1,2.1802398
2015-09-01,0.14,5.0,2.279431
2015-10-01,0.12,5.0,2.3462109
2015-11-01,0.12,5.1,2.4052606
2015-12-01,0.24,5.0,2.4436874
2016-01-01,0.34,4.8,2.4667222
2016-02-01,0.38,4.9,2.5442092
2016-03-01,0.36,5.0,2.531878
2016-04-01,0.37,5.1,2.537996
2016-05-01,0.37,4.8,2.5711572
2016-06-01,0.38,4.9,2.5689022
2016-07-01,0.39,4.8,2.5758512
2016-08-01,0.4,4.9,2.7228064
2016-09-01,0.4,5.0,2.6321032
2016-10-01,0.4,4.9,2.5095184
2016-11-01,0.41,4.7,2.5258013
2016-12-01,0.54,4.7,2.594944
2017-01-01,0.65,4.7,2.661562
2017-02-01,0.66,4.6,2.67446
2017-03-01,0.79,4.4,2.453344
2017-04-01,0.9,4.4,2.25217
2017-05-01,0.91,4.4,2.155911
2017-06-01,1.04,4.3,2.13853
2017-07-01,1.15,4.3,2.146769
2017-08-01,1.16,4.4,2.089832
2017-09-01,1.15,4.3,2.106697
2017-10-01,1.15,4.2,2.192819
2017-11-01,1.16,4.2,2.115031
2017-12-01,1.3,4.1,2.125472
2018-01-01,1.41,4.0,2.166829
2018-02-01,1.42,4.1,2.129934
2018-03-01,1.51,4.0,2.359611
2018-04-01,1.69,4.0,2.492147
2018-05-01,1.7,3.8,2.544964
2018-06-01,1.82,4.0,2.558656
2018-07-01,1.91,3.8,2.531541
2018-08-01,1.91,3.8,2.430733
2018-09-01,1.95,3.7,2.475069
2018-10-01,2.19,3.8,2.419846
2018-11-01,2.2,3.8,2.472599
2018-12-01,2.27,3.9,2.448984
2019-01-01,2.4,4.0,2.378344
2019-02-01,2.4,3.8,2.373979
2019-03-01,2.41,3.8,2.393918
2019-04-01,2.42,3.6,2.410959
2019-05-01,2.39,3.6,2.39962
2019-06-01,2.38,3.6,2.431727
2019-07-01,2.4,3.7,2.467932
2019-08-01,2.13,3.7,2.633395
2019-09-01,2.04,3.5,2.616559
2019-10-01,1.83,3.6,2.7342
2019-11-01,1.55,3.6,2.760463
2019-12-01,1.55,3.6,2.724503
2020-01-01,1.55,3.5,2.788599
2020-02-01,1.58,3.5,2.812655
2020-03-01,0.65,4.4,2.641068
2020-04-01,0.05,14.7,2.233555
2020-05-01,0.05,13.2,2.085757
2020-06-01,0.08,11.0,2.064379
2020-07-01,0.09,10.2,2.350691
2020-08-01,0.1,8.4,2.297196
2020-09-01,0.09,7.9,2.088195
2020-10-01,0.09,6.9,1.848308
2020-11-01,0.09,6.7,1.786708
2020-12-01,0.09,6.7,1.694452
2021-01-01,0.09,6.4,1.504532
2021-02-01,0.08,6.2,1.520784
2021-03-01,0.07,6.0,1.694673
2021-04-01,0.07,6.0,2.284027
2021-05-01,0.06,5.8,2.623896
2021-06-01,0.08,5.9,2.604632
2021-07-01,0.1,5.4,2.325734
2021-08-01,0.09,5.2,2.353165
2021-09-01,0.08,4.7,2.649506
2021-10-01,0.08,4.6,3.04294
2021-11-01,0.08,4.2,3.205069
2021-12-01,0.08,3.9,3.467011
2022-01-01,0.08,4.0,3.982987642
2022-02-01,0.08,3.8,4.297857761
