iter	Passed	Remaining
0	53	53641
1	56	28042
2	57	19207
3	59	14760
4	60	11966
5	61	10144
6	62	8822
7	63	7921
8	64	7129
9	65	6513
10	67	6073
11	68	5665
12	69	5310
13	71	5005
14	72	4740
15	73	4522
16	74	4307
17	75	4112
18	76	3934
19	77	3788
20	78	3654
21	79	3532
22	80	3416
23	81	3327
24	82	3234
25	83	3143
26	84	3055
27	85	2967
28	86	2901
29	87	2829
30	88	2760
31	89	2708
32	90	2650
33	91	2594
34	92	2540
35	93	2494
36	94	2452
37	95	2406
38	96	2371
39	97	2337
40	98	2296
41	99	2261
42	99	2222
43	100	2190
44	101	2160
45	102	2130
46	104	2109
47	104	2076
48	105	2054
49	106	2027
50	107	2006
51	108	1982
52	109	1959
53	110	1941
54	111	1923
55	112	1904
56	114	1890
57	115	1878
58	116	1857
59	117	1838
60	118	1820
61	119	1804
62	120	1796
63	121	1782
64	123	1769
65	124	1757
66	125	1742
67	126	1727
68	127	1716
69	128	1705
70	129	1689
71	129	1673
72	130	1663
73	132	1654
74	133	1643
75	134	1631
76	135	1619
77	136	1608
78	136	1595
79	137	1586
80	138	1574
81	139	1564
82	140	1556
83	141	1547
84	143	1540
85	143	1530
86	145	1525
87	146	1517
88	147	1507
89	148	1498
90	148	1486
91	149	1478
92	150	1470
93	151	1462
94	152	1453
95	153	1445
96	154	1438
97	155	1430
98	156	1426
99	157	1419
100	159	1415
101	160	1412
102	161	1404
103	162	1396
104	163	1390
105	163	1382
106	164	1376
107	165	1368
108	167	1365
109	168	1362
110	169	1357
111	170	1352
112	171	1345
113	172	1343
114	173	1339
115	175	1334
116	176	1331
117	177	1328
118	178	1322
119	179	1315
120	180	1309
121	181	1303
122	182	1297
123	182	1292
124	184	1288
125	185	1283
126	186	1282
127	187	1275
128	188	1273
129	189	1267
130	190	1265
131	192	1263
132	193	1259
133	194	1256
134	195	1250
135	196	1245
136	196	1240
137	198	1237
138	199	1234
139	200	1231
140	201	1228
141	202	1222
142	203	1219
143	204	1217
144	205	1213
145	206	1207
146	207	1206
147	208	1202
148	209	1198
149	211	1195
150	212	1192
151	213	1189
152	214	1184
153	214	1180
154	215	1176
155	216	1172
156	217	1168
157	218	1166
158	219	1162
159	220	1158
160	221	1155
161	222	1151
162	224	1152
163	225	1150
164	227	1148
165	228	1148
166	229	1144
167	230	1142
168	231	1139
169	232	1137
170	233	1132
171	235	1131
172	236	1130
173	237	1126
174	238	1125
175	239	1122
176	241	1120
177	242	1117
178	242	1113
179	243	1111
180	244	1106
181	245	1104
182	246	1102
183	247	1098
184	249	1097
185	250	1096
186	251	1092
187	252	1089
188	253	1086
189	254	1086
190	255	1083
191	257	1082
192	258	1080
193	259	1076
194	259	1072
195	261	1070
196	261	1067
197	262	1064
198	263	1061
199	264	1057
200	265	1054
201	266	1054
202	267	1051
203	268	1047
204	269	1044
205	270	1042
206	271	1038
207	272	1037
208	273	1034
209	274	1031
210	275	1028
211	276	1026
212	277	1023
213	277	1020
214	279	1019
215	280	1017
216	281	1014
217	281	1011
218	282	1008
219	283	1005
220	284	1002
221	285	1000
222	286	998
223	287	995
224	288	993
225	289	991
226	290	989
227	291	987
228	293	986
229	294	984
230	295	982
231	296	982
232	297	979
233	298	976
234	299	975
235	300	972
236	301	970
237	302	969
238	304	968
239	305	966
240	306	965
241	307	962
242	308	960
243	308	957
244	310	956
245	311	954
246	312	953
247	313	951
248	314	949
249	315	947
250	316	945
251	317	942
252	318	940
253	320	940
254	321	938
255	322	936
256	323	934
257	324	933
258	325	931
259	327	930
260	328	928
261	328	926
262	329	924
263	331	923
264	332	921
265	333	920
266	335	920
267	336	918
268	337	915
269	338	915
270	339	913
271	341	912
272	341	910
273	343	909
274	346	912
275	347	911
276	349	913
277	351	912
278	352	910
279	353	908
280	354	908
281	356	907
282	357	905
283	358	902
284	359	900
285	359	898
286	361	896
287	363	898
288	364	895
289	365	894
290	366	892
291	367	891
292	368	889
293	369	887
294	370	885
295	371	884
296	372	882
297	373	880
298	374	878
299	375	876
300	376	873
301	377	872
302	378	870
303	379	868
304	381	868
305	381	866
306	382	864
307	384	863
308	385	861
309	386	859
310	387	857
311	388	856
312	390	856
313	391	855
314	392	853
315	393	852
316	395	851
317	396	850
318	397	848
319	399	847
320	399	845
321	400	843
322	401	841
323	402	839
324	403	837
325	404	835
326	405	834
327	406	832
328	407	830
329	408	829
330	409	828
331	411	827
332	412	825
333	413	824
334	414	822
335	415	821
336	416	819
337	417	817
338	418	816
339	419	814
340	420	812
341	421	811
342	422	808
343	423	806
344	423	804
345	424	803
346	425	801
347	427	800
348	428	798
349	429	796
350	430	795
351	431	793
352	432	792
353	433	790
354	434	789
355	435	787
356	436	786
357	439	788
358	440	787
359	441	785
360	448	793
361	449	792
362	451	792
363	452	791
364	454	790
365	456	791
366	461	795
367	462	794
368	463	793
369	465	791
370	465	789
371	469	791
372	470	790
373	471	789
374	472	787
375	473	786
376	475	785
377	476	783
378	477	782
379	479	782
380	480	781
381	481	779
382	482	777
383	484	776
384	485	774
385	486	773
386	487	772
387	490	773
388	491	771
389	492	770
390	493	769
391	494	767
