iter	RMSE
0	19.95878775
1	19.75634706
2	19.50148198
3	19.28515759
4	19.08409371
5	18.83634234
6	18.59674151
7	18.37879919
8	18.17284105
9	17.95440283
10	17.76219315
11	17.58405218
12	17.39023892
13	17.20629223
14	17.03959859
15	16.81445767
16	16.63100275
17	16.45653085
18	16.2779603
19	16.12233053
20	15.99236581
21	15.79857564
22	15.62151484
23	15.47949868
24	15.32991054
25	15.18836401
26	15.03237257
27	14.89321225
28	14.75606567
29	14.62403847
30	14.48794438
31	14.34608321
32	14.2264553
33	14.10548364
34	13.96618689
35	13.847615
36	13.738057
37	13.60648168
38	13.49657997
39	13.3696059
40	13.25310394
41	13.15309332
42	13.02272918
43	12.93754435
44	12.82777197
45	12.72967515
46	12.59503752
47	12.49415372
48	12.3988125
49	12.2964868
50	12.19359049
51	12.0965661
52	11.99629895
53	11.90005326
54	11.80581125
55	11.69549945
56	11.6031553
57	11.53445659
58	11.43452331
59	11.32016632
60	11.233778
61	11.14368277
62	11.05571229
63	10.95752827
64	10.88345915
65	10.79149199
66	10.72320552
67	10.64998875
68	10.59070614
69	10.51684771
70	10.45207197
71	10.3765969
72	10.28241481
73	10.22003261
74	10.13591151
75	10.07614065
76	10.00101779
77	9.942104135
78	9.871238001
79	9.829262609
80	9.766115246
81	9.696539957
82	9.623438164
83	9.545490887
84	9.489930718
85	9.432281662
86	9.377166468
87	9.319661922
88	9.263314623
89	9.197763147
90	9.150973316
91	9.105675943
92	9.036648578
93	8.964431466
94	8.904819442
95	8.837137845
96	8.787216132
97	8.740539179
98	8.674696241
99	8.617142867
100	8.549151592
101	8.486662299
102	8.441959052
103	8.372801184
104	8.313437435
105	8.251137128
106	8.195580338
107	8.155860713
108	8.107975141
109	8.065973357
110	8.016247628
111	7.964902372
112	7.914966937
113	7.87475274
114	7.843842233
115	7.798547981
116	7.751753494
117	7.712590419
118	7.67259066
119	7.637949345
120	7.5987459
121	7.535763885
122	7.492059242
123	7.459665224
124	7.401068141
125	7.350948874
126	7.304815672
127	7.269927899
128	7.225763351
129	7.183427631
130	7.132155111
131	7.107725813
132	7.06315425
133	7.039269252
134	7.004974923
135	6.960773579
136	6.932262018
137	6.897752944
138	6.85754747
139	6.827304897
140	6.783233028
141	6.735893133
142	6.684691293
143	6.659082905
144	6.621628622
145	6.582630348
146	6.551708098
147	6.535602465
148	6.504091987
149	6.477211081
150	6.442791879
151	6.404875183
152	6.367524791
153	6.335733149
154	6.309000312
155	6.271334543
156	6.237825716
157	6.211757065
158	6.184923258
159	6.1537655
160	6.124070014
161	6.085150131
162	6.063283259
163	6.038074541
164	6.006249523
165	5.982705707
166	5.944439124
167	5.904757265
168	5.872918565
169	5.839925542
170	5.809996264
171	5.779113203
172	5.752261684
173	5.723781663
174	5.698613596
175	5.664488129
176	5.631391722
177	5.603369957
178	5.584152457
179	5.560107503
180	5.533293581
181	5.502775
182	5.481237892
183	5.4549843
184	5.429987214
185	5.410847293
186	5.374407233
187	5.352146829
188	5.329121273
189	5.306611118
190	5.276601519
191	5.257486194
192	5.236647
193	5.217152814
194	5.196687998
195	5.177297126
196	5.151946525
197	5.133976834
198	5.11664649
199	5.084304436
200	5.068931733
201	5.043181652
202	5.014052445
203	4.998536875
204	4.968613011
205	4.942195725
206	4.92960277
207	4.902977035
208	4.873897155
209	4.854125031
210	4.843590091
211	4.82342647
212	4.801761955
213	4.775095707
214	4.746568901
215	4.719718127
216	4.697782598
217	4.665430154
218	4.647127095
219	4.625799786
220	4.613011132
221	4.588541042
222	4.558882544
