Month,Total Energy Consumed by the Residential Sector
1987-01-01,1952.635
1987-02-01,1697.446
1987-03-01,1566.591
1987-04-01,1250.063
1987-05-01,1072.57
1987-06-01,1098.797
1987-07-01,1251.754
1987-08-01,1257.667
1987-09-01,1064.832
1987-10-01,1102.272
1987-11-01,1248.118
1987-12-01,1702.152
1988-01-01,2154.647
1988-02-01,1874.437
1988-03-01,1638.77
1988-04-01,1264.537
1988-05-01,1102.731
1988-06-01,1110.167
1988-07-01,1298.35
1988-08-01,1357.804
1988-09-01,1101.053
1988-10-01,1130.472
1988-11-01,1321.197
1988-12-01,1780.013
1989-01-01,1986.843
1989-02-01,1866.239
1989-03-01,1779.409
1989-04-01,1341.178
1989-05-01,1169.016
1989-06-01,1161.353
1989-07-01,1306.469
1989-08-01,1304.54
1989-09-01,1165.577
1989-10-01,1174.531
1989-11-01,1389.096
1989-12-01,2146.607
1990-01-01,2039.103
1990-02-01,1658.451
1990-03-01,1568.834
1990-04-01,1298.758
1990-05-01,1137.206
1990-06-01,1184.973
1990-07-01,1319.241
1990-08-01,1306.535
1990-09-01,1199.3
1990-10-01,1151.258
1990-11-01,1296.228
1990-12-01,1772.441
1991-01-01,2161.278
1991-02-01,1701.03
1991-03-01,1613.391
1991-04-01,1271.046
1991-05-01,1174.049
1991-06-01,1214.612
1991-07-01,1370.797
1991-08-01,1322.906
1991-09-01,1167.891
1991-10-01,1158.509
1991-11-01,1448.293
1991-12-01,1815.765
1992-01-01,2065.181
1992-02-01,1779.268
1992-03-01,1612.03
1992-04-01,1359.59
1992-05-01,1138.553
1992-06-01,1122.959
1992-07-01,1310.574
1992-08-01,1256.084
1992-09-01,1162.736
1992-10-01,1171.129
1992-11-01,1416.97
1992-12-01,1961.895
1993-01-01,2117.041
1993-02-01,1890.586
1993-03-01,1851.594
1993-04-01,1384.536
1993-05-01,1114.268
1993-06-01,1196.755
1993-07-01,1449.525
1993-08-01,1438.986
1993-09-01,1216.28
1993-10-01,1181.48
1993-11-01,1453.616
1993-12-01,1919.447
1994-01-01,2367.769
1994-02-01,2005.119
1994-03-01,1721.821
1994-04-01,1308.979
1994-05-01,1164.055
1994-06-01,1266.84
1994-07-01,1422.355
1994-08-01,1352.653
1994-09-01,1162.406
1994-10-01,1160.627
1994-11-01,1359.334
1994-12-01,1816.508
1995-01-01,2107.667
1995-02-01,1885.385
1995-03-01,1671.724
1995-04-01,1339.436
1995-05-01,1208.962
1995-06-01,1240.833
1995-07-01,1478.715
1995-08-01,1575.547
1995-09-01,1248.099
1995-10-01,1185.374
1995-11-01,1534.78
1995-12-01,2046.469
1996-01-01,2391.893
1996-02-01,2094.974
1996-03-01,1888.223
1996-04-01,1458.599
1996-05-01,1295.287
1996-06-01,1331.957
1996-07-01,1475.941
1996-08-01,1448.203
1996-09-01,1247.125
1996-10-01,1242.048
1996-11-01,1597.996
1996-12-01,2024.858
1997-01-01,2326.163
1997-02-01,1896.43
1997-03-01,1707.421
1997-04-01,1392.826
1997-05-01,1236.444
1997-06-01,1251.823
1997-07-01,1536.308
1997-08-01,1464.042
1997-09-01,1280.337
1997-10-01,1290.949
1997-11-01,1554.456
1997-12-01,2025.745
1998-01-01,2150.511
1998-02-01,1787.859
1998-03-01,1805.183
1998-04-01,1363.939
1998-05-01,1278.563
1998-06-01,1425.664
1998-07-01,1661.838
1998-08-01,1598.055
1998-09-01,1379.417
1998-10-01,1275.657
1998-11-01,1380.78
1998-12-01,1852.705
1999-01-01,2404.592
1999-02-01,1856.671
1999-03-01,1901.501
1999-04-01,1452.413
1999-05-01,1278.647
1999-06-01,1389.855
1999-07-01,1685.751
1999-08-01,1649.913
1999-09-01,1339.534
1999-10-01,1272.496
1999-11-01,1393.703
1999-12-01,1934.585
2000-01-01,2376.644
2000-02-01,2067.246
2000-03-01,1716.727
2000-04-01,1429.67
2000-05-01,1367.622
2000-06-01,1457.37
2000-07-01,1603.549
2000-08-01,1653.544
2000-09-01,1392.954
2000-10-01,1316.008
2000-11-01,1602.448
2000-12-01,2431.274
2001-01-01,2607.896
2001-02-01,2045.654
2001-03-01,1938.578
2001-04-01,1462.889
2001-05-01,1270.906
2001-06-01,1392.83
2001-07-01,1618.098
2001-08-01,1685.043
2001-09-01,1346.634
2001-10-01,1320.879
2001-11-01,1418.882
2001-12-01,1923.622
2002-01-01,2321.869
2002-02-01,1935.889
2002-03-01,1921.425
2002-04-01,1507.561
2002-05-01,1375.9
2002-06-01,1495.406
2002-07-01,1743.077
2002-08-01,1707.559
2002-09-01,1463.574
2002-10-01,1417.144
2002-11-01,1657.876
2002-12-01,2237.906
2003-01-01,2599.786
2003-02-01,2281.551
2003-03-01,1971.244
2003-04-01,1491.005
2003-05-01,1379.464
2003-06-01,1413.121
2003-07-01,1688.921
2003-08-01,1709.401
2003-09-01,1439.162
2003-10-01,1358.0
2003-11-01,1550.628
2003-12-01,2231.867
2004-01-01,2632.749
2004-02-01,2292.281
2004-03-01,1851.908
2004-04-01,1456.114
2004-05-01,1381.139
2004-06-01,1498.225
2004-07-01,1674.961
2004-08-01,1625.617
2004-09-01,1445.151
2004-10-01,1382.02
2004-11-01,1574.654
2004-12-01,2265.691
2005-01-01,2520.133
2005-02-01,2092.527
2005-03-01,2013.776
2005-04-01,1464.426
2005-05-01,1377.059
2005-06-01,1573.523
2005-07-01,1845.057
2005-08-01,1839.254
2005-09-01,1551.038
2005-10-01,1427.003
2005-11-01,1561.036
2005-12-01,2350.191
2006-01-01,2193.675
2006-02-01,2023.652
2006-03-01,1939.638
2006-04-01,1456.917
2006-05-01,1375.146
2006-06-01,1548.233
2006-07-01,1837.468
2006-08-01,1821.405
2006-09-01,1413.676
2006-10-01,1397.695
2006-11-01,1591.712
2006-12-01,2070.571
2007-01-01,2397.484
2007-02-01,2388.481
2007-03-01,1934.287
2007-04-01,1514.199
2007-05-01,1379.256
2007-06-01,1518.141
2007-07-01,1726.62
2007-08-01,1862.877
2007-09-01,1545.29
2007-10-01,1389.622
2007-11-01,1606.388
2007-12-01,2260.008
2008-01-01,2574.135
2008-02-01,2284.454
2008-03-01,2005.137
2008-04-01,1522.401
2008-05-01,1372.467
2008-06-01,1596.749
2008-07-01,1783.214
2008-08-01,1702.808
2008-09-01,1426.808
2008-10-01,1371.217
2008-11-01,1644.348
2008-12-01,2386.255
2009-01-01,2653.09
2009-02-01,2125.484
2009-03-01,1912.091
2009-04-01,1504.874
2009-05-01,1354.634
2009-06-01,1503.087
2009-07-01,1682.328
2009-08-01,1685.298
2009-09-01,1396.281
2009-10-01,1404.729
2009-11-01,1517.429
2009-12-01,2344.507
2010-01-01,2722.039
2010-02-01,2278.63
2010-03-01,1901.351
2010-04-01,1350.527
2010-05-01,1377.988
2010-06-01,1642.213
2010-07-01,1869.428
2010-08-01,1834.734
2010-09-01,1476.365
2010-10-01,1324.449
2010-11-01,1612.048
2010-12-01,2505.44
2011-01-01,2700.965
2011-02-01,2180.117
2011-03-01,1868.535
2011-04-01,1453.673
2011-05-01,1365.826
2011-06-01,1586.975
2011-07-01,1889.0
2011-08-01,1825.576
2011-09-01,1454.75
2011-10-01,1336.282
2011-11-01,1582.913
2011-12-01,2136.433
2012-01-01,2288.469
2012-02-01,1922.942
2012-03-01,1555.297
2012-04-01,1290.309
2012-05-01,1340.055
2012-06-01,1508.728
2012-07-01,1836.14
2012-08-01,1722.618
2012-09-01,1395.757
2012-10-01,1329.517
2012-11-01,1634.454
2012-12-01,2052.172
2013-01-01,2455.465
2013-02-01,2087.734
2013-03-01,2014.592
2013-04-01,1488.318
2013-05-01,1312.459
2013-06-01,1468.943
2013-07-01,1707.576
2013-08-01,1634.544
2013-09-01,1434.685
2013-10-01,1338.602
2013-11-01,1705.465
2013-12-01,2405.096
2014-01-01,2808.412
2014-02-01,2351.29
2014-03-01,2086.369
2014-04-01,1424.186
2014-05-01,1339.505
2014-06-01,1478.654
2014-07-01,1645.887
2014-08-01,1616.232
2014-09-01,1428.555
2014-10-01,1331.478
2014-11-01,1773.932
2014-12-01,2164.807
2015-01-01,2580.929
2015-02-01,2377.381
2015-03-01,1972.902
2015-04-01,1344.384
2015-05-01,1290.396
2015-06-01,1466.241
2015-07-01,1712.66
2015-08-01,1666.388
2015-09-01,1434.699
2015-10-01,1328.016
2015-11-01,1525.757
2015-12-01,1922.859
2016-01-01,2424.517
2016-02-01,2003.172
2016-03-01,1589.631
2016-04-01,1342.11
2016-05-01,1278.117
2016-06-01,1511.27
2016-07-01,1795.383
2016-08-01,1750.524
2016-09-01,1458.755
2016-10-01,1309.835
2016-11-01,1453.555
2016-12-01,2269.472
2017-01-01,2345.103
2017-02-01,1730.556
2017-03-01,1791.49
2017-04-01,1309.744
2017-05-01,1316.979
2017-06-01,1463.766
2017-07-01,1721.174
2017-08-01,1598.033
2017-09-01,1362.79
2017-10-01,1335.691
2017-11-01,1618.332
2017-12-01,2296.68
2018-01-01,2738.076
2018-02-01,1978.829
2018-03-01,1914.282
2018-04-01,1549.317
2018-05-01,1358.8
2018-06-01,1536.406
2018-07-01,1753.123
2018-08-01,1702.151
2018-09-01,1457.597
2018-10-01,1429.831
2018-11-01,1852.441
2018-12-01,2240.258
2019-01-01,2536.898
2019-02-01,2156.175
2019-03-01,2002.936
2019-04-01,1361.874
2019-05-01,1356.223
2019-06-01,1434.287
2019-07-01,1734.089
2019-08-01,1677.96
2019-09-01,1466.196
2019-10-01,1374.674
2019-11-01,1809.114
2019-12-01,2163.747
2020-01-01,2242.462
2020-02-01,2011.541
2020-03-01,1692.834
2020-04-01,1460.65
2020-05-01,1428.359
2020-06-01,1541.875
2020-07-01,1840.435
2020-08-01,1750.274
2020-09-01,1419.171
2020-10-01,1372.201
2020-11-01,1567.707
2020-12-01,2274.277
2021-01-01,2451.101
2021-02-01,2350.977
2021-03-01,1856.031
2021-04-01,1397.144
2021-05-01,1358.566
2021-06-01,1564.205
2021-07-01,1737.442
2021-08-01,1755.212
2021-09-01,1456.901
2021-10-01,1315.799
2021-11-01,1644.306
2021-12-01,2032.352
