Month,Total Energy Consumed by the Residential Sector
1973-01-01,1957.641
1973-02-01,1712.143
1973-03-01,1510.079
1973-04-01,1183.421
1973-05-01,1006.326
1973-06-01,914.949
1973-07-01,961.872
1973-08-01,994.259
1973-09-01,937.083
1973-10-01,978.162
1973-11-01,1202.105
1973-12-01,1538.568
1974-01-01,1846.93
1974-02-01,1589.448
1974-03-01,1451.073
1974-04-01,1215.228
1974-05-01,1003.821
1974-06-01,916.835
1974-07-01,992.665
1974-08-01,966.36
1974-09-01,901.7
1974-10-01,992.604
1974-11-01,1148.216
1974-12-01,1629.89
1975-01-01,1778.493
1975-02-01,1639.284
1975-03-01,1559.255
1975-04-01,1376.209
1975-05-01,1026.718
1975-06-01,923.084
1975-07-01,980.968
1975-08-01,989.911
1975-09-01,910.485
1975-10-01,941.869
1975-11-01,1069.879
1975-12-01,1615.313
1976-01-01,2013.137
1976-02-01,1687.801
1976-03-01,1448.084
1976-04-01,1164.986
1976-05-01,1002.273
1976-06-01,947.705
1976-07-01,988.055
1976-08-01,981.429
1976-09-01,906.46
1976-10-01,1000.607
1976-11-01,1382.482
1976-12-01,1885.262
1977-01-01,2280.626
1977-02-01,1884.389
1977-03-01,1453.045
1977-04-01,1130.683
1977-05-01,967.509
1977-06-01,952.115
1977-07-01,1065.61
1977-08-01,1045.62
1977-09-01,957.999
1977-10-01,1012.345
1977-11-01,1177.765
1977-12-01,1730.504
1978-01-01,2027.305
1978-02-01,1951.199
1978-03-01,1712.875
1978-04-01,1210.914
1978-05-01,1071.934
1978-06-01,990.484
1978-07-01,1072.906
1978-08-01,1101.275
1978-09-01,1016.781
1978-10-01,1039.957
1978-11-01,1225.672
1978-12-01,1707.223
1979-01-01,2108.841
1979-02-01,2007.392
1979-03-01,1615.631
1979-04-01,1242.639
1979-05-01,1023.883
1979-06-01,946.094
1979-07-01,1024.767
1979-08-01,1072.946
1979-09-01,961.867
1979-10-01,1009.412
1979-11-01,1209.48
1979-12-01,1588.171
1980-01-01,1838.468
1980-02-01,1793.352
1980-03-01,1615.14
1980-04-01,1212.227
1980-05-01,1008.788
1980-06-01,993.775
1980-07-01,1152.33
1980-08-01,1157.857
1980-09-01,1029.125
1980-10-01,1038.329
1980-11-01,1232.913
1980-12-01,1680.995
1981-01-01,2032.325
1981-02-01,1693.078
1981-03-01,1449.833
1981-04-01,1107.16
1981-05-01,990.873
1981-06-01,999.215
1981-07-01,1113.688
1981-08-01,1075.509
1981-09-01,939.617
1981-10-01,1046.335
1981-11-01,1186.174
1981-12-01,1622.184
1982-01-01,2058.643
1982-02-01,1757.891
1982-03-01,1541.14
1982-04-01,1296.61
1982-05-01,999.916
1982-06-01,960.126
1982-07-01,1090.934
1982-08-01,1087.973
1982-09-01,1010.53
1982-10-01,1002.061
1982-11-01,1172.649
1982-12-01,1549.38
1983-01-01,1936.537
1983-02-01,1593.065
1983-03-01,1502.133
1983-04-01,1280.932
1983-05-01,1029.688
1983-06-01,967.119
1983-07-01,1125.715
1983-08-01,1199.584
1983-09-01,1040.331
1983-10-01,970.636
1983-11-01,1134.923
1983-12-01,1642.798
1984-01-01,2147.184
1984-02-01,1685.511
1984-03-01,1602.321
1984-04-01,1294.122
1984-05-01,1102.688
1984-06-01,1041.502
1984-07-01,1119.507
1984-08-01,1154.869
1984-09-01,1018.654
1984-10-01,1000.712
1984-11-01,1195.634
1984-12-01,1592.544
1985-01-01,1976.204
1985-02-01,1928.938
1985-03-01,1523.566
1985-04-01,1205.273
1985-05-01,1007.27
1985-06-01,1023.661
1985-07-01,1135.445
1985-08-01,1143.572
1985-09-01,1052.439
1985-10-01,1045.758
1985-11-01,1186.129
1985-12-01,1813.897
1986-01-01,1999.223
1986-02-01,1699.162
1986-03-01,1548.351
1986-04-01,1182.404
1986-05-01,1051.076
1986-06-01,1048.386
1986-07-01,1237.247
1986-08-01,1175.908
1986-09-01,1037.421
1986-10-01,1069.8
1986-11-01,1234.082
1986-12-01,1688.232
