Entity,Year,CO2
World,1750,0.0125
World,1760,0.0128
World,1770,0.015
World,1780,0.0169
World,1790,0.0206
World,1800,0.0285
World,1801,0.0283
World,1802,0.0371
World,1803,0.0317
World,1804,0.0344
World,1805,0.0334
World,1806,0.0349
World,1807,0.0365
World,1808,0.0346
World,1809,0.0345
World,1810,0.0366
World,1811,0.0385
World,1812,0.0397
World,1813,0.0396
World,1814,0.0402
World,1815,0.0412
World,1816,0.0449
World,1817,0.0462
World,1818,0.0461
World,1819,0.046
World,1820,0.0464
World,1821,0.0468
World,1822,0.0483
World,1823,0.0508
World,1824,0.0522
World,1825,0.0538
World,1826,0.0541
World,1827,0.0576
World,1828,0.0579
World,1829,0.0573
World,1830,0.0764
World,1831,0.0721
World,1832,0.0722
World,1833,0.0733
World,1834,0.0744
World,1835,0.0757
World,1836,0.0873
World,1837,0.0868
World,1838,0.0892
World,1839,0.0917
World,1840,0.0972
World,1841,0.0998
World,1842,0.1049
World,1843,0.1072
World,1844,0.1136
World,1845,0.1241
World,1846,0.1256
World,1847,0.1366
World,1848,0.137
World,1849,0.1441
World,1850,0.154
World,1851,0.1552
World,1852,0.1617
World,1853,0.169
World,1854,0.1982
World,1855,0.2018
World,1856,0.2147
World,1857,0.2163
World,1858,0.2192
World,1859,0.232
World,1860,0.2537
World,1861,0.2664
World,1862,0.2704
World,1863,0.2877
World,1864,0.3089
World,1865,0.327
World,1866,0.3362
World,1867,0.3589
World,1868,0.3674
World,1869,0.3886
World,1870,0.395
World,1871,0.4184
World,1872,0.4605
World,1873,0.4865
World,1874,0.4529
World,1875,0.4886
World,1876,0.4928
World,1877,0.4997
World,1878,0.5006
World,1879,0.5333
World,1880,0.5987
World,1881,0.6152
World,1882,0.6451
World,1883,0.6809
World,1884,0.6834
World,1885,0.6833
World,1886,0.6887
World,1887,0.7175
World,1888,0.7884
World,1889,0.7822
World,1890,0.8451
World,1891,0.879
World,1892,0.8802
World,1893,0.8638
World,1894,0.888
World,1895,0.9351
World,1896,0.959
World,1897,0.9975
World,1898,1.0449
World,1899,1.1333
World,1900,1.185
World,1901,1.2158
World,1902,1.2363
World,1903,1.3373
World,1904,1.341
World,1905,1.4155
World,1906,1.4738
World,1907,1.6518
World,1908,1.5755
World,1909,1.6246
World,1910,1.6883
World,1911,1.7078
World,1912,1.7758
World,1913,1.9079
World,1914,1.719
World,1915,1.6838
World,1916,1.8049
World,1917,1.8746
World,1918,1.8359
World,1919,1.5793
World,1920,1.821
World,1921,1.5859
World,1922,1.6495
World,1923,1.8555
World,1924,1.845
World,1925,1.849
World,1926,1.7993
World,1927,1.9478
World,1928,1.9212
World,1929,2.0441
World,1930,1.8645
World,1931,1.6517
World,1932,1.4738
World,1933,1.5361
World,1934,1.6535
World,1935,1.7174
World,1936,1.8674
World,1937,1.9759
World,1938,1.8397
World,1939,1.927
World,1940,2.0839
World,1941,2.115
World,1942,2.0897
World,1943,2.1091
World,1944,2.1276
World,1945,1.7559
World,1946,1.9028
World,1947,2.0905
World,1948,2.1826
World,1949,2.0966
World,1950,2.3666
World,1951,2.4689
World,1952,2.4576
World,1953,2.4827
World,1954,2.4919
World,1955,2.6842
World,1956,2.8076
World,1957,2.8488
World,1958,2.8771
World,1959,2.9723
World,1960,3.0927
World,1961,3.0459
World,1962,3.0948
World,1963,3.1989
World,1964,3.3076
World,1965,3.3888
World,1966,3.4818
World,1967,3.5194
World,1968,3.635
World,1969,3.797
World,1970,4.0256
World,1971,4.1047
World,1972,4.2115
World,1973,4.3482
World,1974,4.2484
World,1975,4.1786
World,1976,4.3286
World,1977,4.3727
World,1978,4.4297
World,1979,4.4767
World,1980,4.3722
World,1981,4.1937
World,1982,4.088
World,1983,4.0425
World,1984,4.1088
World,1985,4.1712
World,1986,4.1567
World,1987,4.209
World,1988,4.2953
World,1989,4.2782
World,1990,4.2702
World,1991,4.292
World,1992,4.1044
World,1993,4.0855
World,1994,4.0551
World,1995,4.0831
World,1996,4.1469
World,1997,4.1152
World,1998,4.0446
World,1999,4.0432
World,2000,4.1073
World,2001,4.0899
World,2002,4.1319
World,2003,4.2885
World,2004,4.4305
World,2005,4.5249
World,2006,4.6172
World,2007,4.6962
World,2008,4.7235
World,2009,4.5987
World,2010,4.7927
World,2011,4.895
World,2012,4.9079
World,2013,4.893
World,2014,4.8707
World,2015,4.8097
World,2016,4.7496
World,2017,4.7595
World,2018,4.8022
World,2019,4.7582
World,2020,4.4654
