DATE,Auckland,Christchurch,Dunedin,Hamilton,Wellington
2006-09-01,44.4,3.8,11.8,27.8,25.1
2006-10-01,157.8,77.0,40.4,124.8,144.0
2006-11-01,89.3,64.7,71,83.5,131.0
2006-12-01,47.0,115.0,98.4,60.6,63.0
2007-01-01,59.8,22.4,44.2,113.1,75.2
2007-02-01,37.6,24.8,22.8,40,15.4
2007-03-01,132.6,27.8,28.4,105.3,28.7
2007-04-01,59.0,55.8,36,67.7,66.9
2007-05-01,12.0,18.4,8.4,27,63.4
2007-06-01,81.4,61.0,73.8,112,73.0
2007-07-01,167.8,65.6,121.6,188.8,141.8
2007-08-01,96.6,45.0,25.2,161.2,61.0
2007-09-01,60.8,36.8,48,53.8,48.5
2007-10-01,75.8,66.8,90.4,96.2,140.4
2007-11-01,44.4,31.4,21.6,55.6,16.0
2007-12-01,65.2,54.0,78.2,64.6,59.8
2008-01-01,15.0,12.6,44.6,6.8,17.4
2008-02-01,45.4,121.6,62.4,40,52.2
2008-03-01,31.0,20.4,74.6,32.2,99.6
2008-04-01,102.2,27.9,45,121.8,164.6
2008-05-01,113.6,49.8,68.4,76.8,55.4
2008-06-01,158.8,88.6,33.2,168.8,85.2
2008-07-01,215.2,164.6,143.8,199.6,192.8
2008-08-01,166.7,98.3,55,167.5,157.8
2008-09-01,38.6,34.2,60.6,73.8,78.4
2008-10-01,90.7,30.6,18.8,151.6,55.2
2008-11-01,46.0,10.4,34.4,40.4,52.6
2008-12-01,101.6,44.8,64,120.2,104.0
2009-01-01,31.6,25.6,53.6,33.4,14.6
2009-02-01,121.7,67.8,165,133.8,161.4
2009-03-01,35.0,15.2,59.4,27.2,19.8
2009-04-01,40.9,43.2,38.4,52.7,76.6
2009-05-01,152.2,144.8,168,90.8,144.6
2009-06-01,89.2,19.2,16.6,101.1,54.2
2009-07-01,113.2,36.8,57.8,110.6,52.4
2009-08-01,71.7,55.6,23.6,108.1,111.4
2009-09-01,81.2,33.2,46.4,133.6,51.8
2009-10-01,91.0,82.6,48.8,162.8,161.0
2009-11-01,22.2,25.2,18.8,53.2,55.0
2009-12-01,83.0,39.6,39.6,80.2,38.4
2010-01-01,44.0,32.6,69,191.6,72.8
2010-02-01,4.6,18.2,36.6,24.4,16.8
2010-03-01,7.6,22.4,22.6,20.2,34.2
2010-04-01,56.0,24.0,50.4,36.6,27.2
2010-05-01,162.8,163.8,159.8,120.4,171.4
2010-06-01,160.8,93.1,63.6,222.6,140.3
2010-07-01,87.0,67.6,26.6,65.8,92.4
2010-08-01,187.4,86.4,68.2,196.1,165.8
2010-09-01,112.0,42.0,51,180.8,151.6
2010-10-01,19.8,22.0,27.6,41.2,71.8
2010-11-01,22.3,53.0,32.8,16,21.4
2010-12-01,94.4,35.2,119.8,120.2,91.0
2011-01-01,184.1,58.0,65.4,225.4,65.6
2011-02-01,28.2,35.4,109.4,34.2,18.2
2011-03-01,139.6,54.2,71.6,193.4,77.0
2011-04-01,152.3,50.8,43.6,114.5,118.6
2011-05-01,150.4,52.6,95,135.6,106.4
2011-06-01,144.4,41.0,21.6,165.3,86.8
2011-07-01,103.8,29.4,20,169.2,71.8
2011-08-01,43.5,62.6,42,37.4,104.4
2011-09-01,86.2,21.4,26.2,60.8,55.6
2011-10-01,115.2,90.8,89.1,149.2,97.8
2011-11-01,50.2,63.6,67.5,38.4,57.6
2011-12-01,192.2,60.8,8.8,215.1,121.6
2012-01-01,56.2,50.6,62.4,104.8,81.4
2012-02-01,116.8,55.0,123,118.2,44.8
2012-03-01,145.2,39.4,65.4,90.4,111.0
2012-04-01,23.4,32.8,19.6,39,43.1
2012-05-01,82.0,11.2,36.8,107.2,66.6
2012-06-01,88.0,111.2,71.2,92,101.4
2012-07-01,141.2,92.1,47.4,223.8,78.8
2012-08-01,132.8,93.2,103.2,147,108.0
2012-09-01,107.6,32.4,52.6,89.9,46.2
2012-10-01,69.2,55.0,56.6,116.8,45.6
