DATE,Auckland,Christchurch,Dunedin,Hamilton,Wellington
2000-01-01,115.4,47.2,174.8,96.2,91.8
2000-02-01,8.4,25.2,41,8.2,35.2
2000-03-01,57.2,60.8,74.2,33.8,53.4
2000-04-01,106.8,58.2,50,129.6,109.8
2000-05-01,128.2,62.0,'-,98.2,78.2
2000-06-01,146.2,38.0,68.4,100.2,98.6
2000-07-01,148.8,18.0,22.6,98.6,32.2
2000-08-01,84.6,108.4,155.8,102.6,64.0
2000-09-01,66.0,83.4,68.6,113.2,76.2
2000-10-01,51.6,78.0,63.6,96.2,59.6
2000-11-01,72.6,75.6,95.4,94.2,40.2
2000-12-01,60.2,31.2,73.8,131.2,45.0
2001-01-01,56.6,38.0,52.4,50.4,6.8
2001-02-01,110.4,5.0,31.8,181.6,19.0
2001-03-01,19.6,11.2,2.2,78.6,15.0
2001-04-01,98.2,6.8,20.6,67,11.2
2001-05-01,209.8,44.0,72.8,139.6,57.2
2001-06-01,77.0,37.2,47.6,'-,70.8
2001-07-01,95.2,80.2,63.8,108.8,88.6
2001-08-01,125.8,26.2,40,81.6,59.0
2001-09-01,56.6,7.6,19.6,39.6,7.6
2001-10-01,106.6,78.0,61.4,96.8,137.0
2001-11-01,118.8,74.2,55,127.2,135.6
2001-12-01,181.4,31.0,48.2,198.8,133.8
2002-01-01,92.0,137.6,118.6,105.2,97.0
2002-02-01,31.2,54.2,50.4,27.8,101.4
2002-03-01,122.6,32.2,34.4,109.8,46.4
2002-04-01,58.6,87.2,70.2,58.2,35.2
2002-05-01,95.8,29.6,54.6,92,47.4
2002-06-01,126.4,87.0,75.8,135.4,141.0
2002-07-01,143.2,20.0,27.8,136.2,115.8
2002-08-01,90.6,25.0,64.2,88.4,85.8
2002-09-01,76.2,32.6,60,87,102.6
2002-10-01,86.8,36.0,42.9,74.8,22.2
2002-11-01,43.6,87.8,48.9,93.6,93.6
2002-12-01,87.4,31.4,23.6,120.4,84.6
2003-01-01,108.6,43.2,71,125.8,40.8
2003-02-01,54.4,11.6,52.6,42.4,30.8
2003-03-01,144.4,46.4,25,108,26.4
2003-04-01,55.2,48.2,21.8,30.7,37.6
2003-05-01,86.0,35.8,29,57.6,62.4
2003-06-01,101.8,19.4,44.6,'-,132.2
2003-07-01,99.0,41.8,26.6,69.2,49.0
2003-08-01,52.4,30.4,34.6,34.8,125.2
2003-09-01,167.0,85.8,60.2,177.9,172.6
2003-10-01,106.4,48.4,61.2,74.6,139.4
2003-11-01,73.8,25.6,56.4,185.4,70.0
2003-12-01,85.0,1.0,50.2,157.8,44.0
2004-01-01,70.4,29.8,39.8,96.6,124.6
2004-02-01,271.6,89.0,75.4,332.2,294.1
2004-03-01,8.8,37.0,46.2,20.4,39.0
2004-04-01,39.4,42.6,49.2,44.4,81.8
2004-05-01,216.8,50.8,101.2,130.4,83.6
2004-06-01,111.6,5.6,41.8,148.8,59.8
2004-07-01,77.4,50.6,11,107,121.0
2004-08-01,73.0,130.4,120,150.1,114.6
2004-09-01,76.1,31.4,42.4,96.6,115.4
2004-10-01,104.2,35.8,43,129.6,64.8
2004-11-01,41.6,29.2,76.4,70.4,52.0
2004-12-01,133.2,110.4,119,162.4,98.4
2005-01-01,16.0,17.0,53.2,45.4,69.2
2005-02-01,62.8,29.0,116.8,56.4,29.8
2005-03-01,39.8,40.0,84.4,53,155.0
2005-04-01,20.8,45.0,30,29.8,40.8
2005-05-01,150.2,85.8,47.8,242.6,159.3
2005-06-01,109.2,17.0,49.6,86.6,38.4
2005-07-01,161.8,36.8,24.6,160.4,104.8
2005-08-01,38.4,13.4,9.6,96.2,35.4
2005-09-01,91.6,35.6,47.6,139.5,33.6
2005-10-01,180.4,42.6,23.6,201.9,66.4
2005-11-01,40.8,31.0,44.6,74.4,32.8
2005-12-01,59.6,41.4,115.4,159,60.2
2006-01-01,79.2,32.8,73.6,127.4,36.6
2006-02-01,6.8,39.6,31.4,83.2,65.6
2006-03-01,64.0,52.0,67.2,108,90.6
2006-04-01,158.4,70.0,111.6,210.6,61.6
2006-05-01,191.2,98.6,29.8,125,58.8
2006-06-01,101.2,92.2,38.8,111.6,108.6
2006-07-01,68.6,52.0,29.4,103.2,205.6
2006-08-01,99.2,98.4,37.6,120,149.6
