date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,dateChecked,death,hospitalized,totalTestResults,lastModified,recovered,total,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,hash
2021-03-07,56,28756489.0,74582825.0,11808.0,40199.0,776361.0,8134.0,45475.0,2802.0,4281.0,2021-03-07T24:00:00Z,515151.0,776361.0,363825123,2021-03-07T24:00:00Z,,0,0,842,726,131835,41835,1170059,a80d0063822e251249fd9a44730c49cb23defd83
2021-03-06,56,28714654.0,74450990.0,11783.0,41401.0,775635.0,8409.0,45453.0,2811.0,4280.0,2021-03-06T24:00:00Z,514309.0,775635.0,362655064,2021-03-06T24:00:00Z,,0,0,1680,503,143835,60015,1430992,dae5e558c24adb86686bbd58c08cce5f610b8bb0
2021-03-05,56,28654639.0,74307155.0,12213.0,42541.0,775132.0,8634.0,45373.0,2889.0,4275.0,2021-03-05T24:00:00Z,512629.0,775132.0,361224072,2021-03-05T24:00:00Z,,0,0,2221,2781,271917,68787,1744417,724844c01659d0103801c57c0f72bf8cc8ab025c
2021-03-04,56,28585852.0,74035238.0,12405.0,44172.0,772351.0,8970.0,45293.0,2973.0,4267.0,2021-03-04T24:00:00Z,510408.0,772351.0,359479655,2021-03-04T24:00:00Z,,0,0,1743,1530,177957,65487,1590984,5c549ad30f9abf48dc5de36d20fa707014be1ff3
2021-03-03,56,28520365.0,73857281.0,11778.0,45462.0,770821.0,9359.0,45214.0,3094.0,4260.0,2021-03-03T24:00:00Z,508665.0,770821.0,357888671,2021-03-03T24:00:00Z,,0,0,2449,2172,267001,66836,1406795,fef6c425d2b773a9221fe353f13852f3e4a4bfb0
2021-03-02,56,28453529.0,73590280.0,11196.0,46388.0,768649.0,9465.0,45084.0,3169.0,4257.0,2021-03-02T24:00:00Z,506216.0,768649.0,356481876,2021-03-02T24:00:00Z,,0,0,1728,1871,255779,54248,1343519,f90cfd6129805f923153eb8da22a86b75eedf8fd
2021-03-01,56,28399281.0,73334501.0,11748.0,46738.0,766778.0,9595.0,44956.0,3171.0,4252.0,2021-03-01T24:00:00Z,504488.0,766778.0,355138357,2021-03-01T24:00:00Z,,0,0,1241,1024,118077,48092,1154440,fe110199c554cbfbc73cba70a79f621483b58633
2021-02-28,56,28351189.0,73216424.0,11708.0,47352.0,765754.0,9802.0,44907.0,3245.0,4252.0,2021-02-28T24:00:00Z,503247.0,765754.0,353983917,2021-02-28T24:00:00Z,,0,0,1051,879,203599,54349,1408422,e6707b320942dd3747d8bf8f6d9eb3df51d3eb9b
2021-02-27,56,28296840.0,73012825.0,11731.0,48871.0,764875.0,10114.0,44875.0,3335.0,4252.0,2021-02-27T24:00:00Z,502196.0,764875.0,352575495,2021-02-27T24:00:00Z,,0,0,1847,1428,205090,71245,1655179,d147391f796f2e12e030e88d732e1fcc3332ba0f
2021-02-26,56,28225595.0,72807735.0,11945.0,51112.0,763447.0,10466.0,44791.0,3466.0,4247.0,2021-02-26T24:00:00Z,500349.0,763447.0,350920316,2021-02-26T24:00:00Z,,0,0,2141,1868,276829,74857,1803309,a8e3b540b405af9291478478833507c9150982c9
2021-02-25,56,28150738.0,72530906.0,11813.0,52669.0,761579.0,10846.0,44636.0,3567.0,4240.0,2021-02-25T24:00:00Z,498208.0,761579.0,349117007,2021-02-25T24:00:00Z,,0,0,3138,2047,272209,75565,1826144,96567c9224d9e2421005b20d7661d5f698e84ee2
2021-02-24,56,28075173.0,72258697.0,12548.0,54118.0,759532.0,11026.0,44534.0,3685.0,4227.0,2021-02-24T24:00:00Z,495070.0,759532.0,347290863,2021-02-24T24:00:00Z,,0,0,2447,2172,245318,73258,1450666,cb5e30469bb5fa9c8cc57419f854444b7085752d
2021-02-23,56,28001915.0,72013379.0,11200.0,55058.0,757360.0,11272.0,44420.0,3755.0,4214.0,2021-02-23T24:00:00Z,492623.0,757360.0,345840197,2021-02-23T24:00:00Z,,0,0,2241,2164,225267,69105,1193835,b160cc76a55eb46ad84fee0ed21f3f11ff575c07
