"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.662","66.074","66.444","66.787","67.113","67.435","67.762","68.095","68.436","68.784","69.14","69.498","69.851","70.191","70.519","70.833","71.14","71.441","71.736","72.023","72.293","72.538","72.751","72.929","73.071","73.181","73.262","73.325","73.378","73.425","73.468","73.509","73.544","73.573","73.598","73.622","73.646","73.671","73.7","73.738","73.787","73.853","73.937","74.038","74.156","74.287","74.429","74.576","74.725","74.872","75.017","75.158","75.299","75.441","75.583","75.725","75.868","76.01","76.152","76.293","",
"Africa Eastern and Southern","AFE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","42.7160525263364","43.1669350691766","43.6039902540244","44.0256167023783","44.4327209668265","44.8269185053447","45.2130477077738","45.5942941174189","45.9740588428679","46.3523988952427","46.7287965127791","47.1028663204687","47.4711684318316","47.8294031049271","48.1749986572569","48.5033109025955","48.8108365311431","49.0978495787067","49.3663275658959","49.6199971960873","49.8706925374772","50.11588583507","50.3634564074708","50.6103849128502","50.8483347763205","51.0580570906536","51.2142808516956","51.2997808475578","51.3085954769909","51.2517631065044","51.154113100187","51.0484138261888","50.9572621198378","50.8902461024846","50.8418649636072","50.8084844038107","50.7961569715184","50.8206135660064","50.8976071774296","51.0441913292055","51.2761288844047","51.6064582838941","52.0431492826438","52.5858533977139","53.2289134701853","53.96655013393","54.7917066462486","55.6823435005197","56.6097989195142","57.5487718622889","58.4706966763051","59.3535949230704","60.1855610471991","60.9533629561754","61.6473665890637","62.2592883749181","62.7876814850688","63.2462635340566","63.648988039777","64.0051974732229","",
"Afghanistan","AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","32.446","32.962","33.471","33.971","34.463","34.948","35.43","35.914","36.403","36.9","37.409","37.93","38.461","39.003","39.558","40.128","40.715","41.32","41.944","42.585","43.244","43.923","44.617","45.324","46.04","46.761","47.486","48.211","48.93","49.64","50.331","50.999","51.641","52.256","52.842","53.398","53.924","54.424","54.906","55.376","55.841","56.308","56.784","57.271","57.772","58.29","58.826","59.375","59.93","60.484","61.028","61.553","62.054","62.525","62.966","63.377","63.763","64.13","64.486","64.833","",
"Africa Western and Central","AFW","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","37.2053802888777","37.6325458107287","38.0526124460236","38.4637462992862","38.8670727302204","39.264841022967","39.6627616818468","40.0664076306498","40.4828320446893","40.9142150205219","41.3651166262866","41.8372135384403","42.327042722952","42.8290770572674","43.3392192743596","43.8550419702597","44.373966114244","44.8922264707661","45.4026805804062","45.8974752841206","46.3661037063484","46.7982921877146","47.1886175651087","47.5339854517934","47.8305364853668","48.0793808980202","48.2845808464756","48.4541278305564","48.5974209842621","48.719230807331","48.8169994009146","48.8859342755717","48.9234160699463","48.9337077497748","48.9255053499213","48.9099367837817","48.8998752881811","48.9091299499562","48.9553390213338","49.0526389223187","49.2197138106225","49.4751356037932","49.8169286273063","50.2394323653305","50.7334166512703","51.2834866628333","51.8682025707247","52.4639575630919","53.0495003986077","53.6120895132647","54.1443067090059","54.6499981291251","55.1389443224205","55.6189864082126","56.0882690441146","56.5420091409512","56.9747611509084","57.382362702625","57.7623467867763","58.1157227231324","",
"Angola","AGO","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","37.524","37.811","38.113","38.43","38.76","39.102","39.454","39.813","40.178","40.546","40.914","41.282","41.65","42.016","42.374","42.721","43.053","43.367","43.66","43.931","44.178","44.404","44.611","44.799","44.966","45.107","45.213","45.283","45.317","45.324","45.306","45.271","45.23","45.201","45.201","45.246","45.35","45.519","45.763","46.093","46.522","47.059","47.702","48.44","49.263","50.165","51.143","52.177","53.243","54.311","55.35","56.33","57.236","58.054","58.776","59.398","59.925","60.379","60.782","61.147","",
"Albania","ALB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","62.283","63.301","64.19","64.914","65.463","65.85","66.11","66.304","66.487","66.689","66.935","67.237","67.582","67.953","68.343","68.736","69.11","69.448","69.742","69.991","70.208","70.416","70.635","70.876","71.134","71.388","71.605","71.76","71.843","71.86","71.836","71.803","71.802","71.86","71.992","72.205","72.495","72.838","73.208","73.587","73.955","74.288","74.579","74.828","75.039","75.228","75.423","75.646","75.912","76.221","76.562","76.914","77.252","77.554","77.813","78.025","78.194","78.333","78.458","78.573","",
"Andorra","AND","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","46.5469091138864","47.1416203938599","47.7317823550181","48.3204332728397","48.910019198409","49.4964772338631","50.0729488801137","50.6344124529248","51.1820993388776","51.7220226121029","52.2642109204017","52.8229322847285","53.4068864943415","54.0158551681414","54.6428672382962","55.277987677993","55.9096116384496","56.5280754963287","57.1338979893799","57.7348593437162","58.3450223077229","58.977358072457","59.6359975153288","60.3162773724871","61.0037620968184","61.6768162619059","62.3141196109125","62.9013469734474","63.4296881011717","63.8989799585167","64.3515772919558","64.7363405194683","65.0438527359527","65.4149070699595","65.7856531735505","66.1961000473862","66.5541030004729","66.8971447805236","67.2180914612102","67.5176890021404","67.8005914484374","68.0725186351364","68.3402463203748","68.6105056110119","68.886187759396","69.164682959313","69.4394593833006","69.7015552895135","69.9421738723304","70.1575600848623","70.3499164210096","70.5287616794948","70.7037977970714","70.8822177024387","71.0642687701762","71.2495709689318","71.4365471749074","71.6226704254941","71.8070751075422","71.9897093670282","",
"United Arab Emirates","ARE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","51.537","52.56","53.573","54.572","55.555","56.523","57.482","58.432","59.375","60.304","61.215","62.099","62.949","63.759","64.525","65.244","65.916","66.545","67.137","67.692","68.213","68.701","69.158","69.585","69.986","70.363","70.717","71.049","71.361","71.657","71.939","72.208","72.466","72.715","72.957","73.194","73.428","73.657","73.883","74.106","74.327","74.544","74.758","74.968","75.174","75.376","75.573","75.767","75.957","76.145","76.332","76.521","76.711","76.903","77.095","77.285","77.47","77.647","77.814","77.972","",
"Argentina","ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.055","65.176","65.269","65.348","65.426","65.518","65.64","65.796","65.989","66.219","66.483","66.774","67.078","67.383","67.686","67.985","68.283","68.585","68.891","69.197","69.496","69.777","70.033","70.262","70.466","70.65","70.825","71.001","71.186","71.384","71.594","71.813","72.032","72.246","72.453","72.651","72.843","73.029","73.213","73.396","73.576","73.755","73.932","74.107","74.28","74.451","74.62","74.787","74.952","75.116","75.278","75.439","75.598","75.756","75.913","76.068","76.221","76.372","76.52","76.667","",
"Armenia","ARM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","65.972","66.403","66.838","67.277","67.716","68.153","68.588","69.016","69.427","69.809","70.144","70.412","70.605","70.723","70.775","70.783","70.783","70.798","70.838","70.897","70.937","70.91","70.776","70.519","70.15","69.698","69.205","68.732","68.332","68.038","67.879","67.87","67.99","68.218","68.538","68.938","69.404","69.912","70.434","70.944","71.409","71.8","72.112","72.348","72.513","72.626","72.716","72.815","72.946","73.118","73.331","73.572","73.82","74.056","74.273","74.467","74.64","74.797","74.945","75.087","",
"American Samoa","ASM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","61.968","62.523","63.049","63.54","63.992","64.401","64.762","65.081","65.363","65.616","65.847","66.066","66.28","66.498","66.727","66.975","67.244","67.533","67.837","68.154","68.482","68.818","69.156","69.491","69.82","70.137","70.44","70.728","71.004","71.267","71.52","71.765","72.006","72.247","72.489","72.732","72.977","73.222","73.465","73.705","73.94","74.171","74.395","74.613","74.821","75.019","75.204","75.376","75.535","75.683","75.823","75.956","76.087","76.218","76.349","76.483","76.617","76.752","76.885","77.016","",
"Australia","AUS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","70.8170731707317","70.9731707317073","70.9424390243903","70.9117073170732","70.8809756097561","70.850243902439","70.819512195122","70.8692682926829","70.9190243902439","70.9687804878049","71.0185365853659","71.0682926829268","71.4575609756098","71.8468292682927","72.2360975609756","72.6253658536586","73.0146341463415","73.3443902439024","73.6741463414634","74.0039024390244","74.3336585365854","74.6634146341463","74.9048780487805","75.1463414634146","75.3878048780488","75.6292682926829","75.8707317073171","76.1517073170732","76.4326829268293","76.7136585365854","76.9946341463415","77.2756097560976","77.3780487804878","77.8780487804878","77.8780487804878","77.8292682926829","78.0780487804878","78.4804878048781","78.6317073170732","78.9317073170732","79.2341463414634","79.6341463414634","79.9365853658537","80.2390243902439","80.490243902439","80.8414634146341","81.0414634146342","81.2926829268293","81.3951219512195","81.5439024390244","81.6951219512195","81.8951219512195","82.0463414634146","82.1487804878049","82.3","82.4","82.4487804878049","82.5","82.7487804878049","82.9","",
"Austria","AUT","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","68.5856097560976","69.5773170731707","69.309512195122","69.4436585365854","69.9219512195122","69.7221951219512","70.0458536585366","69.9178048780488","70.0575609756098","69.8331707317073","69.9146341463415","70.1146341463415","70.4634146341463","71.0146341463415","71.0121951219512","71.1146341463415","71.5658536585366","71.9146341463415","72.0121951219512","72.3121951219512","72.4634146341463","72.8121951219512","72.9609756097561","73.0121951219512","73.6121951219512","73.8146341463415","74.3170731707317","74.7682926829268","75.2170731707317","75.2658536585366","75.5682926829269","75.6170731707317","75.8170731707317","76.0682926829268","76.419512195122","76.6682926829268","76.8707317073171","77.319512195122","77.6707317073171","77.8756097560976","78.1268292682927","78.5756097560976","78.6780487804878","78.6317073170732","79.1804878048781","79.3317073170732","79.8804878048781","80.1804878048781","80.4317073170732","80.3317073170732","80.5804878048781","80.9829268292683","80.9365853658537","81.1365853658537","81.490243902439","81.190243902439","81.6414634146342","81.6439024390244","81.6926829268293","81.7926829268293","",
"Azerbaijan","AZE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","61.034","61.256","61.469","61.679","61.889","62.104","62.322","62.539","62.75","62.953","63.141","63.31","63.457","63.582","63.687","63.776","63.852","63.921","63.992","64.069","64.161","64.28","64.425","64.587","64.759","64.913","65.016","65.053","65.021","64.935","64.827","64.745","64.731","64.81","64.991","65.256","65.573","65.899","66.207","66.491","66.763","67.054","67.391","67.791","68.249","68.747","69.259","69.752","70.201","70.597","70.938","71.234","71.506","71.768","72.022","72.266","72.493","72.693","72.864","73.005","",
"Burundi","BDI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","41.281","41.592","41.907","42.225","42.54","42.838","43.105","43.332","43.523","43.685","43.841","44.021","44.246","44.528","44.865","45.242","45.63","45.999","46.327","46.608","46.852","47.083","47.324","47.581","47.844","48.08","48.243","48.301","48.244","48.08","47.829","47.522","47.212","46.953","46.786","46.758","46.905","47.226","47.708","48.339","49.091","49.93","50.81","51.69","52.547","53.369","54.163","54.944","55.721","56.488","57.228","57.925","58.568","59.148","59.665","60.123","60.528","60.898","61.247","61.584","",
"Belgium","BEL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","69.7019512195122","70.5209756097561","70.219512195122","70.0514634146342","70.7551219512195","70.6253658536586","70.7063414634146","71.0129268292683","70.6931707317073","70.7648780487805","70.9719512195122","71.0604878048781","71.4051219512195","71.6353658536586","71.9858536585366","71.9712195121951","72.119756097561","72.7739024390244","72.6980487804878","73.1936585365854","73.2070731707317","73.6217073170732","73.8880487804878","73.8690243902439","74.4048780487805","74.520243902439","74.7317073170732","75.3658536585366","75.5658536585366","75.6326829268293","76.0519512195122","76.1921951219512","76.3512195121951","76.3453658536585","76.6917073170732","76.8407317073171","77.1873170731707","77.3707317073171","77.4731707317073","77.619512195122","77.7219512195122","77.9731707317073","78.0756097560976","78.1292682926829","78.8780487804878","78.9804878048781","79.380487804878","79.7829268292683","79.6804878048781","80.0341463414634","80.1829268292683","80.5853658536585","80.3853658536585","80.5878048780488","81.2878048780488","80.9926829268293","81.4390243902439","81.4926829268293","81.5951219512195","81.7463414634146","",
"Benin","BEN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","37.271","37.727","38.188","38.655","39.13","39.615","40.109","40.61","41.117","41.63","42.152","42.684","43.229","43.781","44.337","44.882","45.399","45.883","46.335","46.764","47.19","47.643","48.145","48.71","49.339","50.034","50.79","51.581","52.372","53.132","53.812","54.366","54.776","55.042","55.174","55.203","55.17","55.133","55.139","55.218","55.391","55.668","56.025","56.436","56.887","57.355","57.817","58.255","58.654","59.009","59.318","59.59","59.842","60.092","60.345","60.608","60.885","61.174","61.47","61.771","",
"Burkina Faso","BFA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","34.432","34.897","35.369","35.847","36.331","36.815","37.291","37.754","38.207","38.652","39.095","39.542","40.003","40.493","41.025","41.63","42.343","43.166","44.081","45.06","46.049","46.984","47.81","48.486","48.992","49.323","49.492","49.55","49.545","49.505","49.454","49.409","49.374","49.36","49.38","49.445","49.557","49.713","49.914","50.168","50.489","50.893","51.384","51.956","52.602","53.31","54.063","54.841","55.618","56.377","57.096","57.761","58.374","58.937","59.45","59.919","60.354","60.768","61.174","61.577","",
"Bangladesh","BGD","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","45.379","45.97","46.557","47.126","47.649","48.05","48.236","48.176","47.888","47.432","46.942","46.589","46.507","46.773","47.396","48.313","49.402","50.498","51.473","52.277","52.9","53.376","53.794","54.225","54.693","55.21","55.772","56.359","56.958","57.571","58.21","58.891","59.618","60.388","61.19","62.002","62.798","63.553","64.25","64.881","65.447","65.956","66.43","66.886","67.331","67.773","68.213","68.648","69.072","69.485","69.881","70.256","70.606","70.93","71.231","71.514","71.785","72.052","72.32","72.591","",
"Bulgaria","BGR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","69.2475609756098","70.1956097560976","69.4919512195122","70.3092682926829","71.1212195121951","71.2939024390244","71.2234146341464","70.4139024390244","71.2251219512195","70.43","71.2563414634146","70.8736585365854","70.899512195122","71.3421951219512","71.2080487804878","71.049756097561","71.3948780487805","70.8160975609756","71.1846341463415","71.3082926829268","71.1575609756098","71.5719512195122","71.1860975609756","71.3863414634146","71.499756097561","71.2280487804878","71.7307317073171","71.5268292682927","71.6043902439024","71.7224390243903","71.6414634146342","71.5609756097561","71.4943902439024","71.3468292682927","71.2087804878049","71.0534146341463","70.8973170731707","70.3512195121951","71.0609756097561","71.4121951219512","71.6634146341463","71.7682926829268","71.8658536585366","72.0658536585366","72.5634146341463","72.5609756097561","72.6121951219512","72.6634146341463","72.9634146341463","73.4121951219512","73.5121951219512","74.1634146341463","74.3146341463415","74.8609756097561","74.4658536585366","74.6146341463415","74.8121951219512","74.8146341463415","74.9634146341464","74.9146341463415","",
"Bahrain","BHR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","51.869","53.235","54.59","55.911","57.182","58.388","59.524","60.596","61.609","62.56","63.449","64.275","65.042","65.757","66.421","67.04","67.616","68.152","68.651","69.117","69.55","69.951","70.317","70.651","70.957","71.237","71.496","71.736","71.962","72.178","72.39","72.598","72.803","73.006","73.209","73.413","73.619","73.826","74.033","74.239","74.44","74.635","74.822","74.999","75.167","75.326","75.478","75.625","75.77","75.913","76.057","76.2","76.342","76.484","76.624","76.762","76.899","77.032","77.163","77.292","",
"Bahamas, The","BHS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","64.74","64.885","65.011","65.121","65.219","65.31","65.402","65.499","65.607","65.73","65.87","66.031","66.209","66.397","66.593","66.785","66.962","67.118","67.253","67.372","67.488","67.615","67.769","67.962","68.196","68.474","68.793","69.139","69.496","69.854","70.199","70.518","70.807","71.061","71.276","71.451","71.589","71.698","71.786","71.858","71.914","71.954","71.977","71.986","71.988","71.987","71.988","71.998","72.022","72.067","72.144","72.263","72.424","72.62","72.847","73.088","73.329","73.554","73.752","73.918","",
"Bosnia and Herzegovina","BIH","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","60.353","61.019","61.646","62.243","62.818","63.381","63.94","64.499","65.059","65.621","66.187","66.756","67.32","67.867","68.39","68.872","69.296","69.657","69.954","70.193","70.399","70.601","70.82","71.061","71.315","71.534","71.65","71.626","71.461","71.184","70.877","70.645","70.577","70.725","71.093","71.645","72.307","72.976","73.569","74.05","74.403","74.637","74.803","74.941","75.068","75.198","75.342","75.498","75.665","75.844","76.031","76.219","76.401","76.569","76.723","76.865","76.998","77.128","77.262","77.401","",
"Belarus","BLR","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","67.7080975609756","68.2126585365854","68.6358292682927","68.9920731707317","69.2899268292683","69.5374146341464","69.7346097560976","69.8816585365854","69.9826341463415","70.0451463414634","70.079243902439","70.093","70.0924146341464","70.0824390243902","70.0680731707317","70.0482682926829","70.0159024390244","69.9674146341464","69.9063170731707","69.8416341463415","69.8020243902439","69.8191707317073","69.9082195121951","70.0646585365854","70.2719268292683","70.9926829268293","71.549512195122","70.990243902439","71.3414634146341","71.4829268292683","70.8365853658537","70.3780487804878","70.0219512195122","68.9707317073171","68.7682926829268","68.4609756097561","68.5121951219512","68.4609756097561","68.4073170731707","67.9073170731707","68.9121951219512","68.5073170731707","68.0560975609756","68.5536585365854","68.9560975609756","68.8512195121951","69.4048780487805","70.2073170731707","70.4560975609756","70.4073170731707","70.4048780487805","70.5536585365854","71.9658536585366","72.4707317073171","72.9707317073171","73.6243902439025","73.8268292682927","74.1292682926829","74.1756097560976","74.2268292682927","",
"Belize","BLZ","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","59.981","60.531","61.092","61.663","62.241","62.823","63.402","63.971","64.525","65.058","65.566","66.047","66.504","66.939","67.354","67.751","68.135","68.509","68.874","69.229","69.577","69.921","70.257","70.575","70.865","71.11","71.294","71.405","71.437","71.386","71.242","70.996","70.662","70.268","69.845","69.439","69.1","68.858","68.734","68.734","68.847","69.04","69.272","69.511","69.749","69.998","70.286","70.636","71.059","71.541","72.057","72.57","73.044","73.452","73.782","74.034","74.219","74.365","74.496","74.623","",
"Bermuda","BMU","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","68.8978048780488","","","","","70.29","","","","","","","","","","72.3046341463415","","","","","","","","","","","74.029512195122","","","","","","","","","77.8853658536585","77.8853658536585","78.0878048780488","78.3341463414634","78.4853658536585","78.6853658536586","78.8878048780488","78.9341463414634","79.2365853658537","79.3884390243903","79.2885365853658","81.1526829268293","81.6778048780488","80.5724390243902","80.7973170731707","81.0121951219512","81.2270731707317","81.4419512195122","81.6517073170732","81.8665853658537","",
"Bolivia","BOL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","41.82","42.15","42.49","42.84","43.199","43.568","43.947","44.337","44.737","45.147","45.568","45.999","46.441","46.893","47.355","47.828","48.312","48.806","49.31","49.824","50.349","50.883","51.427","51.98","52.543","53.115","53.695","54.284","54.881","55.486","56.099","56.721","57.351","57.989","58.631","59.276","59.922","60.566","61.204","61.835","62.452","63.054","63.64","64.21","64.766","65.312","65.853","66.395","66.937","67.476","68.007","68.521","69.01","69.468","69.891","70.277","70.626","70.945","71.239","71.513","",
"Brazil","BRA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","54.143","54.634","55.13","55.627","56.121","56.61","57.091","57.563","58.025","58.475","58.911","59.332","59.739","60.132","60.513","60.884","61.243","61.595","61.942","62.286","62.63","62.976","63.326","63.68","64.039","64.406","64.782","65.165","65.553","65.947","66.343","66.742","67.141","67.539","67.932","68.318","68.695","69.061","69.419","69.769","70.116","70.462","70.813","71.17","71.531","71.896","72.26","72.618","72.966","73.3","73.619","73.921","74.209","74.483","74.745","74.994","75.23","75.456","75.672","75.881","",
"Barbados","BRB","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","64.472","65.198","65.831","66.381","66.86","67.275","67.628","67.928","68.187","68.421","68.65","68.89","69.149","69.436","69.756","70.113","70.509","70.931","71.364","71.8","72.222","72.618","72.98","73.303","73.585","73.825","74.029","74.206","74.372","74.534","74.704","74.892","75.101","75.332","75.583","75.852","76.131","76.41","76.68","76.933","77.162","77.362","77.534","77.682","77.808","77.915","78.009","78.097","78.184","78.272","78.364","78.456","78.547","78.633","78.717","78.801","78.888","78.981","79.081","79.19","",
