Date,DOW,Rank,Daily,%± YD,%± LW,Theaters,Avg,To Date,Day,Estimated
"Apr 26, 2019",Friday,1,157461641,-,-,4662,33775,157461641,1,False
"Apr 27, 2019",Saturday,1,109264122,-30.6%,-,4662,23437,266725763,2,False
"Apr 28, 2019",Sunday,1,90389244,-17.3%,-,4662,19388,357115007,3,False
"Apr 29, 2019",Monday,1,36874439,-59.2%,-,4662,7909,393989446,4,False
"Apr 30, 2019",Tuesday,1,33110349,-10.2%,-,4662,7102,427099795,5,False
"May 1, 2019",Wednesday,1,25251991,-23.7%,-,4662,5416,452351786,6,False
"May 2, 2019",Thursday,1,21542852,-14.7%,-,4662,4620,473894638,7,False
"May 3, 2019",Friday,1,40736774,+89.1%,-74.1%,4662,8738,514631412,8,False
"May 4, 2019",Saturday,1,61527049,+51%,-43.7%,4662,13197,576158461,9,False
"May 5, 2019",Sunday,1,45119388,-26.7%,-50.1%,4662,9678,621277849,10,False
"May 6, 2019",Monday,1,10709607,-76.3%,-71%,4662,2297,631987456,11,False
"May 7, 2019",Tuesday,1,12518963,+16.9%,-62.2%,4662,2685,644506419,12,False
"May 8, 2019",Wednesday,1,8429166,-32.7%,-66.6%,4662,1808,652935585,13,False
"May 9, 2019",Thursday,1,7510154,-10.9%,-65.1%,4662,1610,660445739,14,False
"May 10, 2019",Friday,2,16190479,+115.6%,-60.3%,4662,3472,676636218,15,False
"May 11, 2019",Saturday,1,27542359,+70.1%,-55.2%,4662,5907,704178577,16,False
"May 12, 2019",Sunday,1,19567066,-29%,-56.6%,4662,4197,723745643,17,False
"May 13, 2019",Monday,1,4702092,-76%,-56.1%,4662,1008,728447735,18,False
"May 14, 2019",Tuesday,1,5742618,+22.1%,-54.1%,4662,1231,734190353,19,False
"May 15, 2019",Wednesday,1,3788021,-34%,-55.1%,4662,812,737978374,20,False
"May 16, 2019",Thursday,1,3416496,-9.8%,-54.5%,4662,732,741394870,21,False
"May 17, 2019",Friday,2,7470727,+118.7%,-53.9%,4220,1770,748865597,22,False
"May 18, 2019",Saturday,2,12903478,+72.7%,-53.2%,4220,3057,761769075,23,False
"May 19, 2019",Sunday,2,9599300,-25.6%,-50.9%,4220,2274,771368375,24,False
"May 20, 2019",Monday,2,3162240,-67.1%,-32.7%,4220,749,774530615,25,False
"May 21, 2019",Tuesday,2,2900871,-8.3%,-49.5%,4220,687,777431486,26,False
"May 22, 2019",Wednesday,2,1994512,-31.2%,-47.3%,4220,472,779425998,27,False
"May 23, 2019",Thursday,2,1905738,-4.5%,-44.2%,4220,451,781331736,28,False
"May 24, 2019",Friday,3,4278676,+124.5%,-42.7%,3810,1123,785610412,29,False
"May 25, 2019",Saturday,3,6452368,+50.8%,-50%,3810,1693,792062780,30,False
"May 26, 2019",Sunday,3,6469698,+0.3%,-32.6%,3810,1698,798532478,31,False
"May 27, 2019",Monday,3,4863113,-24.8%,+53.8%,3810,1276,803395591,32,False
"May 28, 2019",Tuesday,3,1867668,-61.6%,-35.6%,3810,490,805263259,33,False
"May 29, 2019",Wednesday,3,1288624,-31%,-35.4%,3810,338,806551883,34,False
"May 30, 2019",Thursday,3,1136901,-11.8%,-40.3%,3810,298,807688784,35,False
"May 31, 2019",Friday,6,2074012,+82.4%,-51.5%,3105,667,809762796,36,False
"Jun 1, 2019",Saturday,6,3380393,+63%,-47.6%,3105,1088,813143189,37,False
"Jun 2, 2019",Sunday,6,2583086,-23.6%,-60.1%,3105,831,815726275,38,False
"Jun 3, 2019",Monday,6,869816,-66.3%,-82.1%,3105,280,816596091,39,False
"Jun 4, 2019",Tuesday,7,1208347,+38.9%,-35.3%,3105,389,817804438,40,False
"Jun 5, 2019",Wednesday,6,900345,-25.5%,-30.1%,3105,289,818704783,41,False
"Jun 6, 2019",Thursday,6,861157,-4.4%,-24.3%,3105,277,819565940,42,False
"Jun 7, 2019",Friday,8,1251593,+45.3%,-39.7%,2121,590,820817533,43,False
"Jun 8, 2019",Saturday,8,2035511,+62.6%,-39.8%,2121,959,822853044,44,False
"Jun 9, 2019",Sunday,8,1583859,-22.2%,-38.7%,2121,746,824436903,45,False
"Jun 10, 2019",Monday,8,598373,-62.2%,-31.2%,2121,282,825035276,46,False
"Jun 11, 2019",Tuesday,8,790276,+32.1%,-34.6%,2121,372,825825552,47,False
"Jun 12, 2019",Wednesday,8,601476,-23.9%,-33.2%,2121,283,826427028,48,False
"Jun 13, 2019",Thursday,8,547331,-9%,-36.4%,2121,258,826974359,49,False
"Jun 14, 2019",Friday,12,832020,+52%,-33.5%,1450,573,827806379,50,False
"Jun 15, 2019",Saturday,11,1385165,+66.5%,-32%,1450,955,829191544,51,False
"Jun 16, 2019",Sunday,9,1508670,+8.9%,-4.7%,1450,1040,830700214,52,False
"Jun 17, 2019",Monday,11,470423,-68.8%,-21.4%,1450,324,831170637,53,False
"Jun 18, 2019",Tuesday,11,598268,+27.2%,-24.3%,1450,412,831768905,54,False
"Jun 19, 2019",Wednesday,11,459630,-23.2%,-23.6%,1450,316,832228535,55,False
"Jun 20, 2019",Thursday,10,380431,-17.2%,-30.5%,1450,262,832608966,56,False
"Jun 21, 2019",Friday,13,530906,+39.6%,-36.2%,985,538,833139872,57,False
"Jun 22, 2019",Saturday,13,818809,+54.2%,-40.9%,985,831,833958681,58,False
"Jun 23, 2019",Sunday,13,638134,-22.1%,-57.7%,985,647,834596815,59,False
"Jun 24, 2019",Monday,13,272691,-57.3%,-42%,985,276,834869506,60,False
"Jun 25, 2019",Tuesday,14,346028,+26.9%,-42.2%,985,351,835215534,61,False
"Jun 26, 2019",Wednesday,14,266300,-23%,-42.1%,985,270,835481834,62,False
"Jun 27, 2019",Thursday,12,299327,+12.4%,-21.3%,985,303,835781161,63,False
"Jun 28, 2019",Friday,7,1874259,+526.2%,+253%,2025,925,837655420,64,False
"Jun 29, 2019",Saturday,7,2298821,+22.7%,+180.8%,2025,1135,839954241,65,False
"Jun 30, 2019",Sunday,7,1935656,-15.8%,+203.3%,2025,955,841889897,66,False
"Jul 1, 2019",Monday,7,873149,-54.9%,+220.2%,2025,431,842763046,67,False
"Jul 2, 2019",Tuesday,8,585678,-32.9%,+69.3%,1985,295,843348724,68,False
"Jul 3, 2019",Wednesday,9,624819,+6.7%,+134.6%,1985,314,843973543,69,False
"Jul 4, 2019",Thursday,8,789290,+26.3%,+163.7%,1985,397,844762833,70,False
"Jul 5, 2019",Friday,9,1075221,+36.2%,-42.6%,1985,541,845838054,71,False
"Jul 6, 2019",Saturday,9,1215061,+13%,-47.1%,1985,612,847053115,72,False
"Jul 7, 2019",Sunday,9,828035,-31.9%,-57.2%,1985,417,847881150,73,False
"Jul 8, 2019",Monday,9,381012,-54%,-56.4%,1985,191,848262162,74,False
"Jul 9, 2019",Tuesday,9,506745,+33%,-13.5%,1985,255,848768907,75,False
"Jul 10, 2019",Wednesday,9,384327,-24.2%,-38.5%,1985,193,849153234,76,False
"Jul 11, 2019",Thursday,9,354905,-7.7%,-55%,1985,178,849508139,77,False
"Jul 12, 2019",Friday,11,600453,+69.2%,-44.2%,1443,416,850108592,78,False
"Jul 13, 2019",Saturday,11,840087,+39.9%,-30.9%,1443,582,850948679,79,False
"Jul 14, 2019",Sunday,10,663736,-21%,-19.8%,1443,459,851612415,80,False
"Jul 15, 2019",Monday,10,332736,-49.9%,-12.7%,1443,230,851945151,81,False
"Jul 16, 2019",Tuesday,10,437462,+31.5%,-13.7%,1443,303,852382613,82,False
"Jul 17, 2019",Wednesday,10,354276,-19%,-7.8%,1443,245,852736889,83,False
"Jul 18, 2019",Thursday,10,280304,-20.9%,-21%,1443,194,853017193,84,False
"Jul 19, 2019",Friday,10,460931,+64.4%,-23.2%,985,467,853478124,85,False
"Jul 20, 2019",Saturday,11,597841,+29.7%,-28.8%,985,606,854075965,86,False
"Jul 21, 2019",Sunday,11,455969,-23.7%,-31.3%,985,462,854531934,87,False
"Jul 22, 2019",Monday,11,257846,-43.5%,-22.5%,985,261,854789780,88,False
"Jul 23, 2019",Tuesday,11,306920,+19%,-29.8%,985,311,855096700,89,False
"Jul 24, 2019",Wednesday,10,267954,-12.7%,-24.4%,985,272,855364654,90,False
"Jul 25, 2019",Thursday,9,259095,-3.3%,-7.6%,985,263,855623749,91,False
"Jul 26, 2019",Friday,11,294644,+13.7%,-36.1%,580,508,855918393,92,False
"Jul 27, 2019",Saturday,11,411659,+39.7%,-31.1%,580,709,856330052,93,False
"Jul 28, 2019",Sunday,13,246306,-40.2%,-46%,580,424,856576358,94,False
"Jul 29, 2019",Monday,14,130571,-47%,-49.4%,580,225,856706929,95,False
"Jul 30, 2019",Tuesday,14,154435,+18.3%,-49.7%,580,266,856861364,96,False
"Jul 31, 2019",Wednesday,15,119142,-22.9%,-55.5%,580,205,856980506,97,False
"Aug 1, 2019",Thursday,12,115829,-2.8%,-55.3%,580,199,857096335,98,False
"Aug 2, 2019",Friday,14,112100,-3.2%,-62%,420,266,857208435,99,False
"Aug 3, 2019",Saturday,14,151897,+35.5%,-63.1%,420,361,857360332,100,False
"Aug 4, 2019",Sunday,14,119161,-21.6%,-51.6%,420,283,857479493,101,False
"Aug 5, 2019",Monday,14,65861,-44.7%,-49.6%,420,156,857545354,102,False
"Aug 6, 2019",Tuesday,16,69997,+6.3%,-54.7%,420,166,857615351,103,False
"Aug 7, 2019",Wednesday,16,56021,-20%,-53%,420,133,857671372,104,False
"Aug 8, 2019",Thursday,16,48396,-13.6%,-58.2%,420,115,857719768,105,False
"Aug 9, 2019",Friday,20,56272,+16.3%,-49.8%,237,237,857776040,106,False
"Aug 10, 2019",Saturday,19,86232,+53.2%,-43.2%,237,363,857862272,107,False
"Aug 11, 2019",Sunday,19,67488,-21.7%,-43.4%,237,284,857929760,108,False
"Aug 12, 2019",Monday,19,31799,-52.9%,-51.7%,237,134,857961559,109,False
"Aug 13, 2019",Tuesday,22,33550,+5.5%,-52.1%,237,141,857995109,110,False
"Aug 14, 2019",Wednesday,22,24868,-25.9%,-55.6%,237,104,858019977,111,False
"Aug 15, 2019",Thursday,22,21669,-12.9%,-55.2%,237,91,858041646,112,False
"Aug 16, 2019",Friday,26,28714,+32.5%,-49%,148,194,858070360,113,False
"Aug 17, 2019",Saturday,27,42958,+49.6%,-50.2%,148,290,858113318,114,False
"Aug 18, 2019",Sunday,27,29077,-32.3%,-56.9%,148,196,858142395,115,False
"Aug 19, 2019",Monday,30,11510,-60.4%,-63.8%,148,77,858153905,116,False
"Aug 20, 2019",Tuesday,30,12546,+9%,-62.6%,148,84,858166451,117,False
"Aug 21, 2019",Wednesday,30,11143,-11.2%,-55.2%,148,75,858177594,118,False
"Aug 22, 2019",Thursday,30,10821,-2.9%,-50.1%,148,73,858188415,119,False
"Aug 23, 2019",Friday,38,13186,+21.9%,-54.1%,115,114,858201601,120,False
"Aug 24, 2019",Saturday,35,22021,+67%,-48.7%,115,191,858223622,121,False
"Aug 25, 2019",Sunday,37,15061,-31.6%,-48.2%,115,130,858238683,122,False
"Aug 26, 2019",Monday,41,4865,-67.7%,-57.7%,115,42,858243548,123,False
"Aug 27, 2019",Tuesday,42,5529,+13.6%,-55.9%,115,48,858249077,124,False
"Aug 28, 2019",Wednesday,43,4811,-13%,-56.8%,115,41,858253888,125,False
"Aug 29, 2019",Thursday,42,5113,+6.3%,-52.7%,115,44,858259001,126,False
"Aug 30, 2019",Friday,36,15229,+197.8%,+15.5%,110,138,858274230,127,False
"Aug 31, 2019",Saturday,34,27112,+78%,+23.1%,110,246,858301342,128,False
"Sep 1, 2019",Sunday,35,28434,+4.9%,+88.8%,110,258,858329776,129,False
"Sep 2, 2019",Monday,41,16062,-43.5%,+230.2%,110,146,858345838,130,False
"Sep 3, 2019",Tuesday,48,2820,-82.4%,-49%,110,25,858348658,131,False
"Sep 4, 2019",Wednesday,48,2448,-13.2%,-49.1%,110,22,858351106,132,False
"Sep 5, 2019",Thursday,46,2579,+5.4%,-49.6%,110,23,858353685,133,False
"Sep 6, 2019",Friday,46,3050,+18.3%,-80%,55,55,858356735,134,False
"Sep 7, 2019",Saturday,47,5476,+79.5%,-79.8%,55,99,858362211,135,False
"Sep 8, 2019",Sunday,46,4154,-24.1%,-85.4%,55,75,858366365,136,False
"Sep 9, 2019",Monday,50,940,-77.4%,-94.1%,55,17,858367305,137,False
"Sep 10, 2019",Tuesday,48,2098,+123.2%,-25.6%,55,38,858369403,138,False
"Sep 11, 2019",Wednesday,45,1934,-7.8%,-21%,55,35,858371337,139,False
"Sep 12, 2019",Thursday,45,1663,-14%,-35.5%,55,30,858373000,140,False
